Task Two
		True		False
Task One: 	 0.164386	 0.835614
Task Two: 	 0.000075	 0.999925
Task Three: 	 0.297990	 0.702011
Task Four: 	 0.058066	 0.941934


Task One: 	 0.000070	 0.999931
Task Two: 	 0.000070	 0.999931
Task Three: 	 0.265583	 0.734417
Task Four: 	 0.436009	 0.563991


Task One: 	 0.171291	 0.828709
Task Two: 	 0.004261	 0.995739
Task Three: 	 0.324330	 0.675670
Task Four: 	 0.089794	 0.910206


Task One: 	 0.000077	 0.999923
Task Two: 	 0.000077	 0.999923
Task Three: 	 0.402056	 0.597944
Task Four: 	 0.306030	 0.693970


Task One: 	 0.396868	 0.603132
Task Two: 	 0.491633	 0.508367
Task Three: 	 0.155154	 0.844846
Task Four: 	 0.351503	 0.648497


Task One: 	 0.000081	 0.999919
Task Two: 	 0.485358	 0.514642
Task Three: 	 0.229009	 0.770991
Task Four: 	 0.431097	 0.568903


Task One: 	 0.500000	 0.500000
Task Two: 	 0.500000	 0.500000
Task Three: 	 0.126577	 0.873423
Task Four: 	 0.050068	 0.949932


Task One: 	 0.211580	 0.788420
Task Two: 	 0.099587	 0.900413
Task Three: 	 0.146874	 0.853126
Task Four: 	 0.248019	 0.751981


Task One: 	 0.146907	 0.853093
Task Two: 	 0.000076	 0.999924
Task Three: 	 0.336760	 0.663240
Task Four: 	 0.080063	 0.919937


Task One: 	 0.480773	 0.519227
Task Two: 	 0.000085	 0.999915
Task Three: 	 0.365329	 0.634671
Task Four: 	 0.130026	 0.869974


